2023-12-21 23:13:03 LogWrapper init() ./logs/EUR_JPY.log
2023-12-21 23:13:03 TradeSettings(pair=EUR_JPY, bollinger_bands={'n_ma': 12.0, 'n_std': 2.5, 'maxspread': 0.04, 'mingain': 0.06, 'riskreward': 2.0}, ichimoku_cloud={'n1': 9.0, 'n2': 26.0, 'n3': 52.0}, cmf={'n_cmf': 20.0})
2023-12-21 23:13:11 CandleManager() init last_candle:last_candle:23-12-21 22:12 is_ready:False
2023-12-21 23:14:11 CandleManager() new candle:last_candle:23-12-21 22:13 is_ready:True
2023-12-21 23:14:13 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:13:00+00:00 granularity:M1
2023-12-21 23:15:13 CandleManager() new candle:last_candle:23-12-21 22:14 is_ready:True
2023-12-21 23:15:14 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:14:00+00:00 granularity:M1
2023-12-21 23:16:14 CandleManager() new candle:last_candle:23-12-21 22:15 is_ready:True
2023-12-21 23:16:16 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:15:00+00:00 granularity:M1
2023-12-21 23:17:16 CandleManager() new candle:last_candle:23-12-21 22:16 is_ready:True
2023-12-21 23:17:18 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:16:00+00:00 granularity:M1
2023-12-21 23:18:18 CandleManager() new candle:last_candle:23-12-21 22:17 is_ready:True
2023-12-21 23:18:19 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:17:00+00:00 granularity:M1
2023-12-21 23:19:19 CandleManager() new candle:last_candle:23-12-21 22:18 is_ready:True
2023-12-21 23:19:21 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:18:00+00:00 granularity:M1
2023-12-21 23:20:20 CandleManager() new candle:last_candle:23-12-21 22:19 is_ready:True
2023-12-21 23:20:22 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:19:00+00:00 granularity:M1
2023-12-21 23:21:02 CandleManager() new candle:last_candle:23-12-21 22:20 is_ready:True
2023-12-21 23:21:02 tech_manager: max_rows:113.0 candle_time:2023-12-21 22:20:00+00:00 granularity:M1
